Word;Translation;Sentence;SentenceTranslation
ocalałych;survivors;NO_TR;NO_TR
popalić;burn;NO_TR;NO_TR
szefów;bosses;NO_TR;NO_TR
napady;fits;NO_TR;NO_TR
uwięziona;imprisoned;NO_TR;NO_TR
epizod;episode;NO_TR;NO_TR
elektrowni;power plant;NO_TR;NO_TR
sheppard;shepard;NO_TR;NO_TR
olivera;oliver;NO_TR;NO_TR
burdelu;brothel;NO_TR;NO_TR
niska;short;NO_TR;NO_TR
zakazane;forbidden;NO_TR;NO_TR
stworzeń;creatures;NO_TR;NO_TR
sterowanie;control;NO_TR;NO_TR
umysłowo;mentally;NO_TR;NO_TR
naruto;Naruto;NO_TR;NO_TR
polubisz;you will like;NO_TR;NO_TR
świt;dawn;NO_TR;NO_TR
tonie;it is not;NO_TR;NO_TR
zebys;teeth;NO_TR;NO_TR
inżynier;engineer;NO_TR;NO_TR
ogłosił;announced;NO_TR;NO_TR
kwalifikacje;qualifications;NO_TR;NO_TR
zachowań;behavior;NO_TR;NO_TR
staż;internship;NO_TR;NO_TR
poprosiłeś;you asked;NO_TR;NO_TR
dowodzić;command;NO_TR;NO_TR
puści;let go;NO_TR;NO_TR
biznesmenem;businessman;NO_TR;NO_TR
przyleciał;arrived;NO_TR;NO_TR
hale;halls;NO_TR;NO_TR
uzna;recognizes;NO_TR;NO_TR
chmur;clouds;NO_TR;NO_TR
przemyślałem;thought;NO_TR;NO_TR
stworzyła;she created;NO_TR;NO_TR
informuj;inform;NO_TR;NO_TR
would;would;NO_TR;NO_TR
pożegnania;goodbye;NO_TR;NO_TR
wybierają;they are choosing;NO_TR;NO_TR
postaramy;we will try;NO_TR;NO_TR
przemówić;speak;NO_TR;NO_TR
siłami;forces;NO_TR;NO_TR
opuszczasz;you leave;NO_TR;NO_TR
ciagle;all the time;NO_TR;NO_TR
wychodząc;leaving;NO_TR;NO_TR
krzywdzić;harm;NO_TR;NO_TR
buźka;smiley;NO_TR;NO_TR
prezesem;president;NO_TR;NO_TR
remis;draw;NO_TR;NO_TR
kolumbii;Colombia;NO_TR;NO_TR
crowley;crowley;NO_TR;NO_TR
obrazić;offend;NO_TR;NO_TR
eksperymentu;experiment;NO_TR;NO_TR
wybuchnąć;explode;NO_TR;NO_TR
oświadczenia;statements;NO_TR;NO_TR
wirusem;virus;NO_TR;NO_TR
cristina;Cristina;NO_TR;NO_TR
pojawiłeś;you appeared;NO_TR;NO_TR
posprzątaj;clean up;NO_TR;NO_TR
karaoke;karaoke;NO_TR;NO_TR
smyczy;leash;NO_TR;NO_TR
polityków;politicians;NO_TR;NO_TR
raportów;reports;NO_TR;NO_TR
psuć;spoil;NO_TR;NO_TR
zdobyła;achieved;NO_TR;NO_TR
dead;dead;NO_TR;NO_TR
ranni;wounded;NO_TR;NO_TR
cipka;pussy;NO_TR;NO_TR
wspominaj;remember;NO_TR;NO_TR
krowę;a cow;NO_TR;NO_TR
narka;drug;NO_TR;NO_TR
wstydzisz;you are ashamed;NO_TR;NO_TR
pracujący;working;NO_TR;NO_TR
pochowany;buried;NO_TR;NO_TR
sanchez;sanchez;NO_TR;NO_TR
colorado;colorado;NO_TR;NO_TR
oddałam;I gave back;NO_TR;NO_TR
ścigamy;we chase;NO_TR;NO_TR
tanio;cheaply;NO_TR;NO_TR
siad;sit;NO_TR;NO_TR
wilku;wolf;NO_TR;NO_TR
aczkolwiek;although;NO_TR;NO_TR
miejscami;in places;NO_TR;NO_TR
sprawdziła;she checked;NO_TR;NO_TR
drobna;petite;NO_TR;NO_TR
szczególne;special;NO_TR;NO_TR
pomyłki;mistakes;NO_TR;NO_TR
chcialem;I wanted;NO_TR;NO_TR
joego;joe;NO_TR;NO_TR
podziałało;it worked;NO_TR;NO_TR
mount;mount;NO_TR;NO_TR
tereny;areas;NO_TR;NO_TR
sprowadzi;will bring;NO_TR;NO_TR
dobroć;kindness;NO_TR;NO_TR
zbierał;collected;NO_TR;NO_TR
samymi;alone;NO_TR;NO_TR
tyczy;stakes;NO_TR;NO_TR
kupca;merchant;NO_TR;NO_TR
okłamujesz;you lie;NO_TR;NO_TR
grunt;ground;NO_TR;NO_TR
suzanne;suzanne;NO_TR;NO_TR
kev;kev;NO_TR;NO_TR
przepływ;flow;NO_TR;NO_TR
beznadziejna;hopeless;NO_TR;NO_TR
byk;bull;NO_TR;NO_TR
postrzelono;shot;NO_TR;NO_TR
czarnuchy;niggers;NO_TR;NO_TR
zasobów;resources;NO_TR;NO_TR
zamieni;will replace;NO_TR;NO_TR
upał;heat;NO_TR;NO_TR
lila;lilac;NO_TR;NO_TR
zapasowe;spare;NO_TR;NO_TR
tygrysa;tiger;NO_TR;NO_TR
mamuśka;mom;NO_TR;NO_TR
odwiedzin;visits;NO_TR;NO_TR
przegra;will lose;NO_TR;NO_TR
spalone;burnt;NO_TR;NO_TR
bazując;basing;NO_TR;NO_TR
leniwy;lazy;NO_TR;NO_TR
gimnazjum;junior high school;NO_TR;NO_TR
losy;fate;NO_TR;NO_TR
kryjówka;hide;NO_TR;NO_TR
zegarka;watch;NO_TR;NO_TR
patrzycie;you look;NO_TR;NO_TR
gerald;gerald;NO_TR;NO_TR
sierra;Sierra;NO_TR;NO_TR
kibla;toilet;NO_TR;NO_TR
pięść;fist;NO_TR;NO_TR
śpieszy;hurry;NO_TR;NO_TR
zginiecie;you will die;NO_TR;NO_TR
rozejm;truce;NO_TR;NO_TR
tancerką;dancer;NO_TR;NO_TR
odbudować;rebuild;NO_TR;NO_TR
nastolatek;teenager;NO_TR;NO_TR
paskudna;nasty;NO_TR;NO_TR
lalek;dolls;NO_TR;NO_TR
pytałaś;you asked;NO_TR;NO_TR
udziały;shares;NO_TR;NO_TR
szczęściara;lucky;NO_TR;NO_TR
świeczki;candles;NO_TR;NO_TR
shake;shake;NO_TR;NO_TR
klubów;clubs;NO_TR;NO_TR
głuptasie;silly;NO_TR;NO_TR
pęknie;it will burst;NO_TR;NO_TR
pierdolisz;you fuck;NO_TR;NO_TR
pomocnik;helper;NO_TR;NO_TR
reakcje;reactions;NO_TR;NO_TR
takiemu;such;NO_TR;NO_TR
woods;woods;NO_TR;NO_TR
sława;fame;NO_TR;NO_TR
rogi;horns;NO_TR;NO_TR
kwiatki;flowers;NO_TR;NO_TR
brudnych;dirty;NO_TR;NO_TR
wyjechałem;I left;NO_TR;NO_TR
plaża;beach;NO_TR;NO_TR
kompleks;complex;NO_TR;NO_TR
odpieprz;fuck off;NO_TR;NO_TR
uprzedzić;warn;NO_TR;NO_TR
nagrywać;record;NO_TR;NO_TR
wykonujesz;you do;NO_TR;NO_TR
pożyczył;he borrowed;NO_TR;NO_TR
patrzyłeś;you watched;NO_TR;NO_TR
punktualnie;on time;NO_TR;NO_TR
zdawałem;I guessed;NO_TR;NO_TR
zdołamy;we will;NO_TR;NO_TR
wspiąć;climb;NO_TR;NO_TR
wredny;mean;NO_TR;NO_TR
miriam;miriam;NO_TR;NO_TR
podłoga;floor;NO_TR;NO_TR
zmysł;sense;NO_TR;NO_TR
napaści;assault;NO_TR;NO_TR
zapytałeś;you asked;NO_TR;NO_TR
mostka;bridge;NO_TR;NO_TR
wzdycha;he sighs;NO_TR;NO_TR
chance;chance;NO_TR;NO_TR
wyższej;higher;NO_TR;NO_TR
jethro;jethro;NO_TR;NO_TR
antenie;aired;NO_TR;NO_TR
trupie;dead;NO_TR;NO_TR
negatywne;negative;NO_TR;NO_TR
uszami;ears;NO_TR;NO_TR
samochodach;cars;NO_TR;NO_TR
wytwórni;the label;NO_TR;NO_TR
wzgląd;sake;NO_TR;NO_TR
napiję;I'll drink;NO_TR;NO_TR
izby;rooms;NO_TR;NO_TR
szkolnego;school;NO_TR;NO_TR
dupków;assholes;NO_TR;NO_TR
stos;stack;NO_TR;NO_TR
przypomni;will remind;NO_TR;NO_TR
żyjących;living;NO_TR;NO_TR
budynkiem;building;NO_TR;NO_TR
świnię;pig;NO_TR;NO_TR
mowisz;you say;NO_TR;NO_TR
usiądziemy;we'll sit down;NO_TR;NO_TR
żelaza;iron;NO_TR;NO_TR
opiekun;guardian;NO_TR;NO_TR
iron;iron;NO_TR;NO_TR
zwanym;called;NO_TR;NO_TR
pobity;beaten;NO_TR;NO_TR
przytomny;conscious;NO_TR;NO_TR
pradawnych;ancient;NO_TR;NO_TR
wkurzać;to annoy;NO_TR;NO_TR
daliście;you gave;NO_TR;NO_TR
strzelali;they shot;NO_TR;NO_TR
przekracza;exceeds;NO_TR;NO_TR
zmieniaj;change;NO_TR;NO_TR
monitoringu;monitoring;NO_TR;NO_TR
cuddy;cuddy;NO_TR;NO_TR
pomagała;helped;NO_TR;NO_TR
czyjegoś;someone's;NO_TR;NO_TR
postąp;proceed;NO_TR;NO_TR
policzę;I will count;NO_TR;NO_TR
genialna;genius;NO_TR;NO_TR
uważali;they considered;NO_TR;NO_TR
sprawiłeś;you made;NO_TR;NO_TR
zwariowane;crazy;NO_TR;NO_TR
trafili;they hit;NO_TR;NO_TR
poślubił;married;NO_TR;NO_TR
pomysl;idea;NO_TR;NO_TR
róbmy;let's do;NO_TR;NO_TR
naćpany;stoned;NO_TR;NO_TR
russo;russo;NO_TR;NO_TR
akcentem;accent;NO_TR;NO_TR
strategii;strategy;NO_TR;NO_TR
gołymi;naked;NO_TR;NO_TR
dowiedzmy;let's find out;NO_TR;NO_TR
ambasadorze;ambassadors;NO_TR;NO_TR
róża;rose;NO_TR;NO_TR
ciężarówką;truck;NO_TR;NO_TR
flaki;Guts;NO_TR;NO_TR
współpracuje;cooperates;NO_TR;NO_TR
pomagałem;I helped;NO_TR;NO_TR
nożyczki;scissors;NO_TR;NO_TR
herman;herman;NO_TR;NO_TR
szantaż;blackmail;NO_TR;NO_TR
śmiecia;garbage;NO_TR;NO_TR
czapki;hats;NO_TR;NO_TR
potrącił;hit;NO_TR;NO_TR
wsiadajcie;get in;NO_TR;NO_TR
bagażu;luggage;NO_TR;NO_TR
przygotowałam;I prepared;NO_TR;NO_TR
pomnik;statue;NO_TR;NO_TR
florydę;florida;NO_TR;NO_TR
stowarzyszenie;association;NO_TR;NO_TR
zdarzało;happened;NO_TR;NO_TR
dzieciakowi;to the kid;NO_TR;NO_TR
rządem;the government;NO_TR;NO_TR
dziennikarze;journalists;NO_TR;NO_TR
odeszłaś;you left;NO_TR;NO_TR
standardowa;standard;NO_TR;NO_TR
drzemkę;nap;NO_TR;NO_TR
wrobił;framed;NO_TR;NO_TR
muzykiem;musician;NO_TR;NO_TR
szalonych;crazy;NO_TR;NO_TR
promienie;rays;NO_TR;NO_TR
bałeś;you were afraid;NO_TR;NO_TR
tortu;cake;NO_TR;NO_TR
wymyślisz;you come up with;NO_TR;NO_TR
dopadnie;will get;NO_TR;NO_TR
mieszkacie;you live;NO_TR;NO_TR
czekania;waiting;NO_TR;NO_TR
metropolis;metropolis;NO_TR;NO_TR
blokady;locks;NO_TR;NO_TR
nerkę;kidney;NO_TR;NO_TR
przegrany;lost;NO_TR;NO_TR
wolał;preferred;NO_TR;NO_TR
wrzucił;he threw;NO_TR;NO_TR
komplikacje;complications;NO_TR;NO_TR
zagrożona;endangered;NO_TR;NO_TR
pielęgniarek;nurses;NO_TR;NO_TR
posiadał;possessed;NO_TR;NO_TR
wiń;blame;NO_TR;NO_TR
oparty;based;NO_TR;NO_TR
powstaje;arises;NO_TR;NO_TR
przyczepie;trailer;NO_TR;NO_TR
podejmuje;undertakes;NO_TR;NO_TR
krewetki;shrimp;NO_TR;NO_TR
trzymacie;you hold;NO_TR;NO_TR
ekipą;team;NO_TR;NO_TR
edwards;edwards;NO_TR;NO_TR
grissom;grissom;NO_TR;NO_TR
bywają;they happen;NO_TR;NO_TR
bogatego;rich;NO_TR;NO_TR
tłuszcz;fat;NO_TR;NO_TR
sprawdzili;they checked;NO_TR;NO_TR
groźny;dangerous;NO_TR;NO_TR
uważałam;I thought;NO_TR;NO_TR
urazić;hurt;NO_TR;NO_TR
michaelem;michael;NO_TR;NO_TR
byłyście;you were;NO_TR;NO_TR
służę;I serve;NO_TR;NO_TR
obca;alien;NO_TR;NO_TR
zeke;zek;NO_TR;NO_TR
kółka;colic;NO_TR;NO_TR
nagrał;recorded;NO_TR;NO_TR
przyślę;I will send;NO_TR;NO_TR
zakup;purchase;NO_TR;NO_TR
przyjechaliście;you have arrived;NO_TR;NO_TR
dwójką;two;NO_TR;NO_TR
zwabić;lure;NO_TR;NO_TR
odejdziemy;we will leave;NO_TR;NO_TR
spadły;fell;NO_TR;NO_TR
orła;eagle;NO_TR;NO_TR
bryan;Bryan;NO_TR;NO_TR
lang;lang;NO_TR;NO_TR
niezwykłą;extraordinary;NO_TR;NO_TR
trzymałam;I was holding;NO_TR;NO_TR
reporter;reporter;NO_TR;NO_TR
mniemam;I suppose;NO_TR;NO_TR
uprawiał;cultivated;NO_TR;NO_TR
ogonem;tail;NO_TR;NO_TR
uczciwość;honesty;NO_TR;NO_TR
wysyłamy;we send;NO_TR;NO_TR
sprzedaj;sell;NO_TR;NO_TR
sosem;sauce;NO_TR;NO_TR
rezonans;resonance;NO_TR;NO_TR
przeszły;passed;NO_TR;NO_TR
ubiera;dresses;NO_TR;NO_TR
przeprowadzimy;we will carry out;NO_TR;NO_TR
latte;lattes;NO_TR;NO_TR
rzeź;slaughter;NO_TR;NO_TR
were;were;NO_TR;NO_TR
made;made;NO_TR;NO_TR
towarzysza;companion;NO_TR;NO_TR
sprawdzasz;you check;NO_TR;NO_TR
pociągi;trains;NO_TR;NO_TR
zebym;I would;NO_TR;NO_TR
daily;daily;NO_TR;NO_TR
gracza;player;NO_TR;NO_TR
mayday;mayday;NO_TR;NO_TR
odmówiła;she refused;NO_TR;NO_TR
prościej;simpler;NO_TR;NO_TR
opuszczony;abandoned;NO_TR;NO_TR
pasażera;passenger;NO_TR;NO_TR
prostytutka;prostitute;NO_TR;NO_TR
ramion;arms;NO_TR;NO_TR
wzrosła;increased;NO_TR;NO_TR
rozerwać;tear;NO_TR;NO_TR
okrągło;round;NO_TR;NO_TR
przedmiotów;items;NO_TR;NO_TR
dojdę;I will come;NO_TR;NO_TR
leah;leah;NO_TR;NO_TR
pościel;linen;NO_TR;NO_TR
nieśmiertelny;immortal;NO_TR;NO_TR
zorientuje;will realize;NO_TR;NO_TR
pacyfiku;the pacific;NO_TR;NO_TR
słynny;famous;NO_TR;NO_TR
opuszczaj;leave;NO_TR;NO_TR
podpiszesz;you will sign;NO_TR;NO_TR
świrem;I'm crazy;NO_TR;NO_TR
odrobinie;a little;NO_TR;NO_TR
energią;energy;NO_TR;NO_TR
ulotki;flyers;NO_TR;NO_TR
palcu;finger;NO_TR;NO_TR
dutch;dutch;NO_TR;NO_TR
dałby;would give;NO_TR;NO_TR
kierowców;drivers;NO_TR;NO_TR
zaopiekuje;will take care;NO_TR;NO_TR
najdroższy;dearest;NO_TR;NO_TR
ostateczne;final;NO_TR;NO_TR
zabierajcie;take away;NO_TR;NO_TR
zastanawiałeś;you wondered;NO_TR;NO_TR
geje;gays;NO_TR;NO_TR
pomyliłeś;you made a mistake;NO_TR;NO_TR
federalne;federal;NO_TR;NO_TR
roland;roland;NO_TR;NO_TR
umarłeś;you died;NO_TR;NO_TR
morale;morale;NO_TR;NO_TR
czwórkę;four;NO_TR;NO_TR
liczył;counted;NO_TR;NO_TR
zwyczajny;ordinary;NO_TR;NO_TR
ośrodku;resort;NO_TR;NO_TR
niepodobne;unlike;NO_TR;NO_TR
powinnismy;we should;NO_TR;NO_TR
wschodniego;eastern;NO_TR;NO_TR
śmiali;they laughed;NO_TR;NO_TR
przyjęty;adopted;NO_TR;NO_TR
knox;knox;NO_TR;NO_TR
przyprawia;spices;NO_TR;NO_TR
sprzedała;she sold;NO_TR;NO_TR
strzelaninie;shooting;NO_TR;NO_TR
nakazuje;orders;NO_TR;NO_TR
nazwą;name;NO_TR;NO_TR
górnej;upper;NO_TR;NO_TR
fotografii;photography;NO_TR;NO_TR
miala;she had;NO_TR;NO_TR
sekretarką;secretary;NO_TR;NO_TR
słonecznego;solar;NO_TR;NO_TR
niniejszym;hereby;NO_TR;NO_TR
poprosimy;we will ask;NO_TR;NO_TR
słuchamy;we listen;NO_TR;NO_TR
nadrobić;make up;NO_TR;NO_TR
pentagon;pentagon;NO_TR;NO_TR
cieszył;enjoyed;NO_TR;NO_TR
brali;they took;NO_TR;NO_TR
zbliży;will come closer;NO_TR;NO_TR
dostaliście;you got;NO_TR;NO_TR
nadciąga;is coming;NO_TR;NO_TR
przenoszą;they move;NO_TR;NO_TR
wykazały;showed;NO_TR;NO_TR
zabójstwie;homicide;NO_TR;NO_TR
piechotę;on foot;NO_TR;NO_TR
him;him;NO_TR;NO_TR
przeniesiemy;we will transfer;NO_TR;NO_TR
sprzętem;equipment;NO_TR;NO_TR
felicity;Felicity;NO_TR;NO_TR
policyjną;police;NO_TR;NO_TR
psychol;psycho;NO_TR;NO_TR
przyjazd;arrival;NO_TR;NO_TR
japończycy;Japanese;NO_TR;NO_TR
pijani;drunk;NO_TR;NO_TR
przydadzą;they will come in handy;NO_TR;NO_TR
obecną;current;NO_TR;NO_TR
litrów;liters;NO_TR;NO_TR
voyagera;voyager;NO_TR;NO_TR
poszczęści;good luck;NO_TR;NO_TR
uwolnię;I will release;NO_TR;NO_TR
transmisji;transmission;NO_TR;NO_TR
agresji;aggression;NO_TR;NO_TR
ufają;they trust;NO_TR;NO_TR
zaprzecza;denies;NO_TR;NO_TR
najwyższą;the highest;NO_TR;NO_TR
wykazać;demonstrate;NO_TR;NO_TR
nieść;carry;NO_TR;NO_TR
nieprzyjemne;not nice;NO_TR;NO_TR
niemiły;unpleasant;NO_TR;NO_TR
płomienie;flames;NO_TR;NO_TR
clinton;clinton;NO_TR;NO_TR
absurdalne;absurd;NO_TR;NO_TR
wykorzystałeś;you used;NO_TR;NO_TR
podstawowych;basic;NO_TR;NO_TR
wypuszczą;they will release;NO_TR;NO_TR
egzekucja;execution;NO_TR;NO_TR
odmiana;variety;NO_TR;NO_TR
kolczyk;earring;NO_TR;NO_TR
zakończymy;we will finish;NO_TR;NO_TR
szokujące;shocking;NO_TR;NO_TR
kompas;compass;NO_TR;NO_TR
szary;gray;NO_TR;NO_TR
syd;syd;NO_TR;NO_TR
humorze;mood;NO_TR;NO_TR
dynamit;dynamite;NO_TR;NO_TR
zamkniętymi;closed;NO_TR;NO_TR
walnij;hit;NO_TR;NO_TR
przekupić;bribe;NO_TR;NO_TR
przeprowadziłem;I carried out;NO_TR;NO_TR
hardy;hardy;NO_TR;NO_TR
tylera;Tyler;NO_TR;NO_TR
benzynowej;gasoline;NO_TR;NO_TR
pomogłam;I helped;NO_TR;NO_TR
obejrzysz;you will watch;NO_TR;NO_TR
cate;cat;NO_TR;NO_TR
obliczenia;calculations;NO_TR;NO_TR
udam;I will;NO_TR;NO_TR
malibu;malibu;NO_TR;NO_TR
wróżka;fairy;NO_TR;NO_TR
juliana;julian;NO_TR;NO_TR
hołd;tribute;NO_TR;NO_TR
zamykaj;close;NO_TR;NO_TR
anglicy;English;NO_TR;NO_TR
polują;they hunt;NO_TR;NO_TR
udawanie;simulation;NO_TR;NO_TR
oskarża;accuses;NO_TR;NO_TR
kandydat;candidate;NO_TR;NO_TR
siostrzeniec;nephew;NO_TR;NO_TR
zdecyduj;decide;NO_TR;NO_TR
rozrywka;entertainment;NO_TR;NO_TR
ustawcie;set;NO_TR;NO_TR
itp;e.t.c;NO_TR;NO_TR
dbał;cared;NO_TR;NO_TR
wymyśliłam;I invented;NO_TR;NO_TR
sekretne;secret;NO_TR;NO_TR
chorą;sick;NO_TR;NO_TR
odeszłam;I left;NO_TR;NO_TR
zdają;they seem;NO_TR;NO_TR
bagno;swamp;NO_TR;NO_TR
kaseta;cassette;NO_TR;NO_TR
cytat;quote;NO_TR;NO_TR
sprzedamy;we will sell;NO_TR;NO_TR
siódmy;seventh;NO_TR;NO_TR
powołanie;vocation;NO_TR;NO_TR
semestr;term;NO_TR;NO_TR
znakomity;excellent;NO_TR;NO_TR
wódz;chief;NO_TR;NO_TR
tragiczne;tragic;NO_TR;NO_TR
uzgodniliśmy;we agreed;NO_TR;NO_TR
wyrzuciłem;I threw it away;NO_TR;NO_TR
warsztat;workshop;NO_TR;NO_TR
wypuszczę;I will release;NO_TR;NO_TR
samolubna;selfish;NO_TR;NO_TR
grawitacja;gravitation;NO_TR;NO_TR
sully;sully;NO_TR;NO_TR
funduszu;fund;NO_TR;NO_TR
nasienie;seed;NO_TR;NO_TR
podejrzana;suspicious;NO_TR;NO_TR
dostarczę;I will deliver;NO_TR;NO_TR
terrorysta;terrorist;NO_TR;NO_TR
kwaterze;quarters;NO_TR;NO_TR
najpiękniejsza;the most beautiful;NO_TR;NO_TR
obiektem;object;NO_TR;NO_TR
wymknąć;slip away;NO_TR;NO_TR
dały;gave;NO_TR;NO_TR
lwy;lions;NO_TR;NO_TR
hojny;generous;NO_TR;NO_TR
komendanta;commandant;NO_TR;NO_TR
wstrętne;disgusting;NO_TR;NO_TR
berlin;Berlin;NO_TR;NO_TR
podatku;tax;NO_TR;NO_TR
podwyżkę;raise;NO_TR;NO_TR
kilometry;kilometers;NO_TR;NO_TR
gerry;gerries;NO_TR;NO_TR
worku;bag;NO_TR;NO_TR
wydech;exhaust;NO_TR;NO_TR
trudnego;difficult;NO_TR;NO_TR
fortuny;fortunes;NO_TR;NO_TR
odejściu;leaving;NO_TR;NO_TR
produkcję;production;NO_TR;NO_TR
zgłosiła;reported;NO_TR;NO_TR
skłonności;tendencies;NO_TR;NO_TR
umówiliśmy;we agreed;NO_TR;NO_TR
wporzo;cool;NO_TR;NO_TR
annę;anne;NO_TR;NO_TR
przyglądać;watch;NO_TR;NO_TR
worka;bag;NO_TR;NO_TR
starbuck;starbucks;NO_TR;NO_TR
gniewasz;you are angry;NO_TR;NO_TR
kapitański;captain;NO_TR;NO_TR
założymy;we will assume;NO_TR;NO_TR
jorge;jorge;NO_TR;NO_TR
bogate;rich;NO_TR;NO_TR
tzn;i.e;NO_TR;NO_TR
ożeniłem;I got married;NO_TR;NO_TR
kopertę;an envelope;NO_TR;NO_TR
izraela;Israel;NO_TR;NO_TR
wydałeś;you spent;NO_TR;NO_TR
obrońcą;defender;NO_TR;NO_TR
pozbawiony;deprived;NO_TR;NO_TR
ocali;save;NO_TR;NO_TR
zmarły;died;NO_TR;NO_TR
uśmiechu;smile;NO_TR;NO_TR
demokracji;democracy;NO_TR;NO_TR
nieładnie;not nice;NO_TR;NO_TR
pieczęć;stamp;NO_TR;NO_TR
zjadłam;I ate;NO_TR;NO_TR
uwierzyłem;I believed;NO_TR;NO_TR
narodowy;national;NO_TR;NO_TR
einstein;einstein;NO_TR;NO_TR
przywódcę;leader;NO_TR;NO_TR
wyspać;sleep;NO_TR;NO_TR
wychowywać;bring up;NO_TR;NO_TR
patrzyli;they watched;NO_TR;NO_TR
dodam;I will add;NO_TR;NO_TR
czynszu;the rent;NO_TR;NO_TR
dawny;ex;NO_TR;NO_TR
czołg;tank;NO_TR;NO_TR
prostym;simple;NO_TR;NO_TR
kandydatem;candidate;NO_TR;NO_TR
przynosić;bring;NO_TR;NO_TR
marian;Marian;NO_TR;NO_TR
nadjeżdża;is coming;NO_TR;NO_TR
benem;ben;NO_TR;NO_TR
wydostanie;getting out;NO_TR;NO_TR
trafiło;hit;NO_TR;NO_TR
heroina;heroin;NO_TR;NO_TR
urlopu;leave;NO_TR;NO_TR
uznają;recognize;NO_TR;NO_TR
zastępstwo;replacement;NO_TR;NO_TR
spełnia;fulfills;NO_TR;NO_TR
niedobry;bad;NO_TR;NO_TR
dwóm;two;NO_TR;NO_TR
niebezpiecznego;dangerous;NO_TR;NO_TR
patyków;sticks;NO_TR;NO_TR
zmieniamy;we change;NO_TR;NO_TR
rae;rae;NO_TR;NO_TR
zarobisz;you will earn;NO_TR;NO_TR
komisarza;commissioner;NO_TR;NO_TR
przeciąć;cut;NO_TR;NO_TR
opłacić;pay;NO_TR;NO_TR
tchórze;cowards;NO_TR;NO_TR
sztorm;storm;NO_TR;NO_TR
bohaterami;heroes;NO_TR;NO_TR
ograniczyć;to limit;NO_TR;NO_TR
najważniejszym;the most important;NO_TR;NO_TR
moralności;morality;NO_TR;NO_TR
fran;fran;NO_TR;NO_TR
paszporty;passports;NO_TR;NO_TR
extra;extra;NO_TR;NO_TR
ślicznotko;cutie;NO_TR;NO_TR
płucach;lungs;NO_TR;NO_TR
dragi;drugs;NO_TR;NO_TR
amunicję;ammunition;NO_TR;NO_TR
niewolnicy;Slaves;NO_TR;NO_TR
bezpośrednie;direct;NO_TR;NO_TR
ronald;ronald;NO_TR;NO_TR
oglądałam;I watched;NO_TR;NO_TR
weż;take;NO_TR;NO_TR
pustym;empty;NO_TR;NO_TR
ołówek;pencil;NO_TR;NO_TR
wyższych;higher;NO_TR;NO_TR
spisałaś;you wrote;NO_TR;NO_TR
bosko;divinely;NO_TR;NO_TR
izzy;izzy;NO_TR;NO_TR
powstać;arise;NO_TR;NO_TR
wieczny;eternal;NO_TR;NO_TR
pośpieszyć;hurry up;NO_TR;NO_TR
win;wines;NO_TR;NO_TR
banana;banana;NO_TR;NO_TR
nazwałaś;you called;NO_TR;NO_TR
zachodzi;is setting;NO_TR;NO_TR
oszalała;she went crazy;NO_TR;NO_TR
udają;pretend;NO_TR;NO_TR
węgiel;coal;NO_TR;NO_TR
nazwiemy;we will call;NO_TR;NO_TR
świtem;dawn;NO_TR;NO_TR
pogorszy;will make it worse;NO_TR;NO_TR
tupet;nerve;NO_TR;NO_TR
pozbył;got rid of;NO_TR;NO_TR
jax;jax;NO_TR;NO_TR
trasa;route;NO_TR;NO_TR
przebraniu;disguise;NO_TR;NO_TR
tardis;tardis;NO_TR;NO_TR
uroku;charm;NO_TR;NO_TR
przyznajesz;you admit;NO_TR;NO_TR
skazani;convicts;NO_TR;NO_TR
virgil;virgil;NO_TR;NO_TR
ery;era;NO_TR;NO_TR
szpiku;marrow;NO_TR;NO_TR
skierować;direct;NO_TR;NO_TR
picard;picard;NO_TR;NO_TR
deana;dean;NO_TR;NO_TR
sumy;sums;NO_TR;NO_TR
maryland;maryland;NO_TR;NO_TR
sprawozdanie;report;NO_TR;NO_TR
przyjęte;accepted;NO_TR;NO_TR
złapałam;I caught;NO_TR;NO_TR
przywiązany;attached;NO_TR;NO_TR
położyłem;I put;NO_TR;NO_TR
psychiczne;mental;NO_TR;NO_TR
smakują;they taste;NO_TR;NO_TR
ogonie;tail;NO_TR;NO_TR
talerze;plates;NO_TR;NO_TR
zdrowi;healthy;NO_TR;NO_TR
połóżcie;put it down;NO_TR;NO_TR
słabych;the weak;NO_TR;NO_TR
massachusetts;massachusetts;NO_TR;NO_TR
kinga;king;NO_TR;NO_TR
dotyczą;concern;NO_TR;NO_TR
zamężna;married;NO_TR;NO_TR
cało;whole;NO_TR;NO_TR
mroczny;dark;NO_TR;NO_TR
igłę;needle;NO_TR;NO_TR
współpracowników;co-workers;NO_TR;NO_TR
sms;sms;NO_TR;NO_TR
curry;curry;NO_TR;NO_TR
osobom;people;NO_TR;NO_TR
urojenia;delusions;NO_TR;NO_TR
żyjący;living;NO_TR;NO_TR
zeszły;last;NO_TR;NO_TR
miejscowych;locals;NO_TR;NO_TR
rabunek;robbery;NO_TR;NO_TR
ollie;ollies;NO_TR;NO_TR
poprawka;correction;NO_TR;NO_TR
sierotą;orphan;NO_TR;NO_TR
stopniowo;gradually;NO_TR;NO_TR
zaskoczenie;surprise;NO_TR;NO_TR
wykonana;done;NO_TR;NO_TR
uderzysz;you will hit;NO_TR;NO_TR
butch;butch;NO_TR;NO_TR
snow;snow;NO_TR;NO_TR
jasność;brightness;NO_TR;NO_TR
union;union;NO_TR;NO_TR
